business,users
Carmen! Carmen! Prestige Salon and Spa,2
Whitehall Estates,1
Styling Iconz Beauty Lounge,2
Al-basha Mediterranean Grill & Hookah,3
Doctor Detail of Matthews,1
Flower Hut,2
Brakeman's Coffee & Supply,3
Nile Ethiopian Restaurant & Grocery,3
American Deli,5
Enat Ethiopian Restaurant,2
A & A International Food,1
Foxy Nails and Spa,4
Saigon Night,1
Uv Nails,2
Pizza Spiga,3
New World Olive Oil,2
Immortal Images Tattoo Studio,2
Carnitas Guanajuato Mexican Restaurant,3
Mi Barrio Halal Latin Grill,7
Louis'grille,3
Cuzcatlan Restaurant,1
Elkins Automotive,2
Alter Imaging,3
Yelena Kovalev Artistry Salon,1
Viva Nails & Spa,7
Merry Maids,7
Hendrick Lexus Charlotte,1
Andino's Tires Services,1
Taco Frontera,5
Bigger Bite,1
Chickadee's Cafe,2
Picadeli's Pub-In-Deli,3
Pier 49,3
Crispys Bar And Grill,14
Famous Sam's,19
Mama Bessie's Place,1
Permenter Chiropractic,1
Chester Cathedral,2
Presidential Limousine,18
Drugstore Cafe,46
Tableau,54
B Bar,4
Scottsdale Marriott at McDowell Mountains,17
Mariscos Vuelve a La Vida,15
Chokh Di Noodle House,4
Vento La Trattoria,4
Hampton Inn Belmont at Montcross,2
Kaizen Fusion Roll & Sushi,354
Cameo,9
Residence Inn Charlotte Concord,5
Panda Hut,5
Indian Paradise,52
Narai Thai + Sushi,59
Wok Box,47
Rimrock Bar & Grille,11
Rennick's Restaurant,3
Hilton Phoenix Airport,21
Courtyard Phoenix Airport,6
Bankers Raw Bar,4
Tiger Kim's Tae Kwon Do,2
Viva Zapatas Mexican Restaurant & Cantina,128
Mr. Mamas,299
Lush Fresh Handmade Cosmetics,67
Hawaiian Barbeque,56
Bistro 57,23
Discovery Children's Museum,106
Cilantro Tacos,33
Cosmo Nails & Spa,19
Copper Plate,4
Orthocarolina - Ballantine,2
Kinetic Heights,2
MR GREEK,3
Paramount Fine Foods,168
Best Western Plus Sterling Hotel & Suites,1
Carolina Mall Cinemas,4
Big Lots - Concord,1
Casa Grande Mexican Restaurant,11
Carrington Place Nursing Home,1
Gaffney Health Services,1
Dragon Wok,41
Cabarrus Family Medicine PA,1
PostNet,69
Eloquent Nails,3
Concord Fire Station No 9,1
TJ Maxx/ Home Goods,1
Mighty Dollar,5
Earth Fare Concord,2
Concord Renaissance Center,1
Hop Feng Kitchen,1
Chicken Bucket,3
Microtel Inn & Suites By Wyndham Charlotte/Northlake,1
Original Chicken & Ribs,2
Friendship Missionary Baptist Church,1
Food Lion Llc Store #2647,2
Tops China Restaurant,1
Tung's Chinese Restaurant,1
Brow Art 23,7
BevMo,57
32 Degree Draft Bar,36
Smith's Food and Drug Center,24
Hop Nuts Brewing,54
The Smashed Pig Gastropub,34
Kitchen Table,156
Hidden Track Bottle Shop,4
The Mayfield Smoke Shop,2
Brennan's Colony,8
Davis Bakery & Delicatessen,5
Cousin's Cigar,10
JoVann's Tobacco Shop,5
Crazy Horse Mens Club,1
Alesci's of South Euclid,5
Lemon Grass,8
Fleming's Prime Steakhouse - Woodmere,12
Lizardville Beer Store & Whiskey Bar,21
Best Gyros,37
New Heights Grill,11
Royal Havana Cigars,6
The Rib Cage Smokehouse and Bar,25
DL Automotive,1
The Hub Bar And Grill,2
X-tra Ball Ice Cream & Pinball,3
Apostrophe Lounge,1
The TV Shop,2
Surplus Warehouse,1
Rooftop 210,5
KŪRE Vaporium & Lounge - Gastonia,1
House of Africa,1
Dino's Pizza & Pasta,6
Shug-A-Bug Kids Spa,2
Bread and Kabob,7
Faith Coffee And Sweets,11
Sharonview Federal Credit Union,1
Pho Thang Cafe,38
Dental Connection,1
Gracious Nails,7
Dentistry of the Carolinas - Myers Park,1
La Fiesta Grande,12
Charlotte Travel Plaza,1
Shell Rapid Lube & Service Center,3
Charlotte Supplements,2
Lavender Spa and Nail Salon,2
Domenico's Pizza and Pasta,1
Olive This!,1
Fort Mill Family Restaurant,10
Hao Chee Fresh Cafe,4
Ballantyne Limousine,1
Silverfox Limos,2
Common House,1
Sergio's Italian Gardens,19
Tea Fusion Cafe,22
Gnc,7
Junk Masters,1
London Grace Salon,1
Salon On Selwyn,1
Regent Park Cafe,4
Ziggy's Grille House,3
Marquis of Carmel Valley,1
Hi-Line Garage,2
Big Lots - Matthews,1
Lai Lai Express,6
iN2 Nails,3
Ahh Spa,2
Elite Nail Spa,1
Pretty N Ink,1
Pet Paradise - Matthews,4
Silver Bullet Diner,1
The Bloomingnails Salon,1
Goody Woody's,1
Frontier Meat Processing,1
Iconic Nail Spa,1
Providence Produce Market,1
Asian Grill,25
Skyline Grille at Regent Park Golf Club,1
Miro Spanish Grille,11
Kabab Je Rotisserie and Grille,5
The Hot Dog King,1
The Orleans Hotel & Casino,385
Tiffany's Cafe,43
V Theater,37
Encore Beach Club,218
Findlay Honda Henderson,42
Springfresh Cleaners,1
Pure Barre - Charlotte Ballantyne,2
Element 5 Salon,3
Russell's Pub N Grill,3
Film Cafe by Eative,10
Sushi Way,114
Novant Health Urgent Care & Occupational Medicine - Waverly,1
Blanchard's Deli,2
Quick Wok,2
Concord Diner,9
Carmel Commons,1
Satay Thai Bistro & Bar,141
Checker Cab,4
Andrea's,69
Clever Koi,121
Thai Royal Massage & Spa,9
Lotus II Chinese Cuisine,2
Southern Marketplace,2
Brickhouse Grill,2
Danny's Pizza and Pasta,7
D-Moe's Famous Hot Dogs,4
Nicks Steak and Taphouse,4
Piedmont Express Care at Sutton Road,2
South Charlotte Jewelry and Loan,1
Nails Garden,5
J-Birds Burger Jointe,3
Expert Nails,1
Solaso Nail Spa,5
Parkway House Family Restaurant,19
Ishi 3 Japanese Restaurant,3
Bellacino's Pizza & Grinders,11
Second Look Books,3
Island Style Restaurant,313
Hong Kong Restaurant,11
Big Shot,5
Vince Neil Ink - Tattoo,5
Java Coast Cafe,5
Hilton Grand Vacations at the Flamingo,28
New Asian Cuisine,8
Latta Plantation Equestrian Center,1
Ava Nails Spa,10
The Wooden Spoon,1
Maggiemoo's,1
Gas House Grill,1
Frontier Landscaping,2
Al's Donuts & Cafe Burger,19
Taqueria Guadalajara,63
Tulips Indian Cuisine,8
Modish Nail Spa,6
What-A-Burger,5
Elegant Nails,3
China Tea Room,5
Autumn Park Apartments,2
Ben Mynatt Chevrolet Cadillac,2
Steves Service Center,1
Scott's Karat Patch,1
Burberry,21
935,1
Worthington Luxury Apartments,1
The Vineyards on Lake Wylie,1
Highland Mill Lofts,1
Nikki's 1st Burstday @ Pinky's Westside Grill H'ville,1
Wendys,6
Zoewee's,4
Paponetti's Pizza Ribs & Spirits,4
JW Marriott Scottsdale Camelback Inn Resort & Spa,52
Phoenix Center For The Arts,12
U Food Grill,2
Frascati in the Valley,2
Granbar Kennels,1
L4 Lounge,3
Shoe Carnival,3
Nonna's Pizza and Restaurant,5
Residence Inn Charlotte University Research Park,2
North Carolina License Plate,1
Wiki Wiki Car Wash,2
Fushing Chinese Restaurant,7
Cottage Express,1
Friar Tuck Beverage,3
Cora Bella's Salon,1
Showmars Eastway,2
Cold Mountain Creamery,1
Planet Automotive Group,1
Action Laundry,1
Jin Mee Korean BBQ Restaurant,44
Zenshin Asian Restaurant,130
Slanted Rice Vietnamese Bistro,46
Hula's Modern Tiki Scottsdale,119
Grand Canyon Tour Company,6
Hampton Inn - Charlotte,1
Ramada Plaza Toronto Downtown,3
Four Points by Sheraton Tempe,12
Nakato Japanese Steakhouse & Sushi Bar,1
Comfort Inn & Suites Downtown,2
Sal's Pizza,32
24 Hours of Booty,2
Performance Auto Collision Center,2
Charlotte Comedy Theater,1
Hendrick Collision Center of Concord,1
Webster Radiator A/C & Auto Truck Repair,1
Friendly Stranger,1
The Queen And Beaver Public House,37
Quidleys Delight,6
Rotisserie Pollo Rico,1
Rose Nails,4
Providence Plastic Surgery,1
Carmen Carmen Salon & Spa,6
The Law Offices of Sir Ashley J Harrison,1
Las Americas,23
Yogo Novus,1
Concord Nails Spa,1
Alino Pizzeria,4
Desert Foothills Ace Hardware,6
La Cage Aux Sports,18
"Sandy M Stovall, DDS",1
Locker Room Sports Bar & Grill,8
Milagros Restaurant,10
Phoenix Marathon,1
The Full Moon Oyster Bar,5
Davidson Pizza Company,3
Carrefour Angrignon,2
Boucherie du Marché,3
InHAIRitance,1
BLOME Blowdry Bar,1
Cirque du Soleil - VOLTA,5
NoCA Uptown,1
Days Inn Charlotte North-Speedway-UNCC-Research Park,1
Texas Ranch Steak House,2
Candlewood Suites Charlotte-University,2
Ohio State of Headlands Beach State Park,2
Holiday Inn Express Deforest,1
Cinéma Banque Scotia,23
Downsview Park Allen Road,6
The Senator,79
lululemon athletica Eaton Centre,4
"The Westin Harbour Castle, Toronto",1
Kozlik's Canadian Mustard,7
Bell Centre,23
Air Canada Centre,67
Moneysworth & Best,2
Lavish & Squalor,6
Contrast Brasserie,1
Morrisons Inverness,1
Ashtanga Yoga Centre of Toronto,1
Yuzu No Hana,68
The Market By Longo's,7
Enlighten Yoga,4
CrudaCafe,6
Holiday Inn Express Oakwood Village,3
Holiday Inn Express & Suites Charlotte Southeast - Matthews,2
Das Leuze Mineralbad,1
Wilhelma Zoologisch-Botanischer Garten,6
Palast der Republik,3
Holiday Inn Stuttgart,4
Breuninger,6
Café Heller,2
Europcar,1
NAMA,1
Sailer,1
Alte Kanzlei,4
Caffé-Bar,4
1000schön,1
Schlossplatz,4
ViPei Bistro,15
Sakura Sushi House,20
Stuttgart Hauptbahnhof,12
BATL - The Backyard Axe Throwing League,8
Kirei Sushi + Bar,13
Markthalle Stuttgart,5
Vegi,1
Ville de Montréal,9
Black Canary Espresso Bar,13
Corso Cinema International,2
Ak-Chin Pavilion,19
Pancho y Emiliano,7
Flughafen Stuttgart,15
Stuttgarter Schlachthof,2
Alliant Energy Center,6
Cafe Chamäleon,1
Schloss Rosenstein,2
Stadt Stuttgart,1
Back & Shop Bahnhof Vaihingen,1
Tsimpo,2
Rosensteinpark,1
Serhat Döner Kebap,2
Divan,1
Looking Glass Creamery,3
Milaneo,1
Das Gerber,3
GAB,2
Feinkost Böhm Restaurant,5
Universal Cuts,1
West Cabarrus YMCA,1
Blast Fitness,1
Wing Zone,4
Red Roof Inn Charlotte UNCC,4
"Steven Bilon, OD",1
Farley's Crafted Pizzeria,19
Essex Condominiums,1
Charlotte Taekwondo America,1
Wyatt & Dad Shoe Repair Specialists,2
Ashley HomeStore,94
Finesse Nails,2
Custom Express Embroidery & Screen Printing,1
Roscoe's,4
Burley Dentistry,1
Mcalister's Deli,2
Manchu Wok,11
Don Julio's,3
Infiniti Of Charlotte,3
Play It Again Sports - Charlotte,1
Yen's Chinese Restaurant,2
TruGreen Lawn Care,2
Dineen Coffee,44
Le Meridien Charlotte,4
Angelo's Family Restaurant,3
El Segundo Sol,159
Pizza & More On 74,1
Classic Attic,3
Penny Pincher,4
Bavarian Deli,1
China II,1
Carolina Place Animal Hospital,1
Biehl Brian L DMD,1
Village Pizza,18
Lux Nails Spa,1
Fort Mill Ford,1
Upscale Nail & Spa,2
Delicias Colombianas,1
Mary Coyle Ol Fashion Ice Cream,41
South Carolina Welcome Center,1
Southlake Family Dentistry of Fort Mill,1
Adecco,1
Reafield Village Apartments,1
Whitehall Parc Apartment Homes,3
Comfort Inn At Carowinds,1
Comporium,1
De Marco's Italian Grill,7
Texicali Taco & Tequila Bar,7
Digby's Pizza,2
Castaways,23
Rock Hill Pediatrics,1
Toby Keith's I Love This Bar & Grill,136
U-Drift,9
zMAX Dragway,3
Snip-its Charlotte,2
BONZ Smoke & Taphouse,8
Baxter Veterinary Clinic,1
Perú Chicken,21
Los Olivos Hand Car Wash,75
Revolution Health Medical Center,16
Marquis Diagnostic Imaging,7
Richard Petty Driving Experience,11
Towne Storage Dewey Rainbow,4
Rampart Buffet,25
Balayage Bar,3
Middleburg Pizza & Subs,1
Claudette's Cafe and Deli,7
Sweet Basil Neapolitan Style Pizzeria,15
Canarys,10
Luna's Deli Restaurant,8
Honey Hut Ice Cream,16
Lincoln Park Pub,22
Scotti's Italian Eatery,12
Demetrio's Family Restaurant,8
Bella Pizza,5
Steve's Family Restaurant,23
Rookies,1
Hofbrauhaus Cleveland,33
Sweetbriar Golf Club,2
Fratello's,5
Regal Cinemas Cobblestone Square 20,10
Strip,23
Salad KraZe,15
Legacy Restaurant & Grille,14
Cafe Melissa,15
Psycle,13
Ellsworth Meadows Golf Club,1
Dale & Bob's Auto & Tire Serv,2
Peabody's Concert Club,7
La Bodega,11
Goodfellers,6
The Peppermill Pub and Grill,3
Cleats Club Seat Grille Old Brooklyn,15
Mark Pi's China Gate,8
Jackalope Lakeside,11
Razzle's,5
Nemo Grille,9
Sorrento Ristorante & Pizzeria,15
Brasa Grill,23
Tartine Bistro & Wine Bar,16
PJ McIntyres Irish Pub,15
Dante,45
Wolfey's Bistro & Pub,18
Lizardville Beer Store,12
The French Creek Grill & Tavern,5
New Treasure,8
The Breakwall Food & Spirits,9
Athena's Deli & Restaurant,7
Pizza Cutter,3
China Chef,7
Spevock's Nautical Lanes,3
Lenny's Deli,2
Mallard Creek Golf Club,1
B & D Shooting Range,2
Chapman's Food Mart,3
Ozone Window Tinting,3
Steve's Lunch,9
Grovewood Tavern and Wine Bar,16
Siam Cafe,40
Rego Brothers Lake Road Market,3
Second Sole,4
Gina's Place,5
Stamper's Grill Pub,15
Sears Appliance and Hardware Store,4
Fragapane Bakeries & Deli,6
Bay Dental Office,2
Kasidonis Heating & Cooling,1
Olde Town Pizza House,9
Blue Sky Restaurant,22
Smith's Custom Catering,1
Avon Dairy Treat,5
Gyro House,41
No 1 Kitchen,1
Gander Mountain - Sheffield Store,6
Animal Clinic Northview,4
Lakewood Village Tavern,9
Panda Wok Asian Cuisine,11
Hilarities 4th Street Theatre,8
Sophie's Choice Pierogi,1
Jaipur Junction,24
Mitchell's Tavern,4
Asian Wok Chinese Restaurant,3
O'Rielly's Pub,6
Blush,9
Bubba's Q,11
Fujiyama Steakhouse & Sushi Bar,16
Loco Leprechaun,8
Gemini Center,3
Nee How Chinese Food Market,1
Rush Inn Bar & Grill,8
Robeks Fruit Smoothies & Healthy Eats,2
Angelina's Pizza,5
The Great Escape,1
Tadka Restaurant,7
Fenik's Frozen Custard,22
"Klyczek D Gregory, DC",1
Davis Bakery & Deli,2
Xtreme Performance,3
4 Pets Clinic,4
Rubin's Restaurant,4
Washington Street Diner,7
Arashi Japan Steak House,16
Wood & Wine,12
Mashiso Asian Grille,18
Pho 99,6
Breathe,3
Saigon Grille,19
A Serenity NOW Massage & Spa,4
El Patrón Mexican Grill,13
Fresh Planet,6
"Eddie 'N Eddie Burgers, Bourbon & Apple Pie",1
Spooky Ranch,1
Taki's Greek Kitchen,15
pizzaBOGO,17
Doughboy's Pizza & Wings,2
Dervish Grill Tremont,9
Salvation Army Family Store,5
E&H Ace Hardware,3
Ohio BMV License Bureau,1
Don Tequila Bar And Grill,5
Niko's Bar & Gyros,12
Cupcake Wishes,7
Chutney Rolls,8
Ninh Kieu Vietnamese Restaurant,10
Kabob Place,10
Metrohealth,1
Nirvana Pizza,3
The Pub Beachwood,16
Hooley House Sports Pub & Grille,19
Budget HVAC,2
Camino,10
Acacia Reservation,4
Divine Scoops,1
The Proper Pig Smokehouse,22
Vermillion Valley Travel Plaza,3
Moncho's Bar & Grill,11
RTA - W117 & Madison Rapid Station,1
Diesels Direct,1
Waterloo Brew,3
Golf Zone,3
BMW of Westlake,3
Bar 145 - Avon,13
O'Toole's Pub and Restaurant,6
High Voltage Indoor Karting,7
"Discount Tire Store - Avon, OH",1
B.A. Sweetie Candy,5
Wizard World Cleveland Comic Con,6
The Fountain Cafe & Grille,9
Neechi's Pizza,3
Slyman's Tavern,21
Los Amigos Mexican Bar & Grill,4
Bomba Tacos & Rum,33
Cozzeria Pizza,2
Big City Burgers,7
Fiesta Jalapeños,25
Coleone's Restaurant,4
Voodoo Tuna,16
The Detail Wizards,1
Night Market Cleveland,5
Nate's Marathon Home of the Giant Gyro,1
Punch Bowl Social Cleveland,23
Rosewood Grill,38
Bhelwala Indian Street Food,6
Rue 254,8
John Salter's Full Blast Arcade,2
Hyatt Place Cleveland/Westlake/Crocker Park,3
"Miami Nights Grill, Bar, & Lounge",1
Superelectric Pinball Parlor,3
Herb 'n Twine,13
Golden Bowl,3
Zócalo Tequilería,45
Lockdown - A Cleveland Escape Room Experience,2
56 Kitchen,13
Master Pizza,16
Foundry Kitchen and Bar,6
Barry Bagels Avon,5
Bonchon - Seven Hills,12
Ushabu,8
Tom + Chee,4
Upper Crust Pizza,20
Krav Street Food,2
Gun Hub USA,3
Orangetheory Fitness Westlake,1
CoCo's Gelato,3
BiryaniHut Express,6
Erie Burger,7
Eggcellent Steak,1
Naf Naf Grill,16
Gormley's,5
Saucy Brew Works,4
BIBIBOP Asian Grill,8
Xinji Noodle Bar,7
Molto Bene Italian Eatery,4
Citizen Pie,11
Thirsty Dog Brewing - East Bank,2
Old Carolina Barbecue Company,22
LJ Shanghai,3
Elite Event: Yelp's Taste of Brio Coastal Bar & Kitchen,3
Cafe 56,12
Lagerheads,35
Perk-Cup! Cafe,11
River Dog Cafe,11
White Oaks,14
Pizza by Robert,7
Lucky Wok,6
Sugarcreek Restaurant,11
Samosky's Homestyle Pizzeria,18
Borderline Cafe,33
Nick Mayer Lincoln,2
Bistro 83,11
Hot Head Burrito,4
Gitta's Table And Wine Shop,2
Midway Oh-Boy Restaurant,62
La Borincana Foods,3
Las Cazuelas,100
Charleston Coffee House,4
Jenni Juggs,5
Swerve Grille,4
Cleveland Yachting Club,2
Fitness Center - UH Avon Health Center,10
Holy Trinity Church Hall,1
Serpentini Arena at Winterhurst,2
Chili Peppers,7
87 West 2,22
Marengo Luxury Spa,12
Coleone's Pizza & Subs,5
Olde River Yacht Club,1
Automotive Specialty Services,1
Avon Serenity Spa,1
West Shore Family Branch YMCA,3
French Creek Family YMCA,18
King Wah,16
UH Westlake Health Center,3
Two Bucks,46
Diamond Nail Salon,3
Spa 7,4
Kiedrowskis Bakery,15
Giovanni's Pizza,12
Mazzone & Sons Bakery,6
Old School Iron Gym,2
Whistlers Kitchen & Bar Wood-Fired,10
Railway Barbershop,4
Marty's Cycle Center,2
Gyros & More,4
Palace Civic Center,1
Ganley Westside Imports,6
Donauschwaben's German-American Cultural Center,4
Dog 'n Suds,3
Barking Barbers,1
Dairy Grove,3
Hungry Bear,3
Sunset Terrace at Lakeview,1
Bootleggers Bar & Grille,8
Rural King,2
Aristo Bistro,2
Avon Lake Food Mart,1
Memphis Kiddie Park,5
Panini's Warehouse District,10
AutoNation Ford Westlake,6
Manero's Italian Restaurant,2
Stella's Pizza & Italian Restaurant,1
Buckeye Lanes,6
Bearden's Restaurant,13
Entenmann's Bakery,5
Westlake Porter Public Library,5
Moosehead Hoof & Ladder,17
United Dairy Farmers,10
Skyvision Centers,1
Fragapane Bakeries,13
Body Anthology,5
Casita Del Lago,4
Lone Tree Tavern,9
Absolutely Posh Salon,1
Fin Feather Fur Outfitters,3
Murphys Ale House,6
Sauced Wood Fired Pizza,5
In Forno Pizza,20
Tailgators Sports Bar,2
Good Neighbor Thrift Shop,1
The Standard,16
Aroma Restaurant,1
Driftwood Cafe,1
The Parma Tavern,5
Main Street Cupcakes,5
John Christ Winery,4
The Oak Barrel,50
Close Quarters Pub,2
Raw Esthetics,2
Avon Lake Animal Clinic,1
Istanbul Mediterranean Grill,26
El Jalapeños,33
Brownie's Market,1
Fligner's Catering,6
George's Family Restaurant,1
Chris' Restaurant,1
Rio Coffee Brewery,16
3rd Base Bar & Grill,2
Diso's Bistro,10
Vintage Love,1
Taste,25
Sumo Boy Sushi and Teriyaki House,12
Beal's Pickles 'n' Pints,11
Little Mountain Brewing Company,7
Chris' Family Restaurant,6
Vieng's Asian Bistro,19
Fairfield Inn & Suites Cleveland Avon,3
Tom's Country Place Caterers,1
Off Broadway Floral and Gifts,1
J Crew,7
Furnace Creek General Store,5
Heck's Café,10
Preston's Hope,4
Flash Auto Wash,2
Gunselman's Tavern,3
Capri Pizza,9
German Central Organization,1
Jerry Kuhn's Kwik Car Wash,4
Wayne's Auto Service,2
Nails For You,36
The Oriole Cafe,7
Rush Inn,7
Market Avenue Wine Bar,16
OB GYN Associates LLC,1
Carriage Auto Wash,3
Mitchell's Ice Cream,28
Blackbird Baking Company,65
Zip Auto Wash,1
Powerhouse Gym,3
Red Cedar Coffee Company,2
Eddy & Iggy's,7
Cleveland Police Deptartment,8
Krysia Energy Yoga,1
Fear's Confections,9
Active Runner,3
The Campus Grille,18
Bee Clean Car Wash,7
Our Place Restaurant & Lounge,4
Peppermint Thai Cuisine,26
Babe's Cafe and Bakery,3
Hansol,2
Thai Kitchen,43
Ticket To Tokyo,3
Maltz Museum of Jewish Heritage,1
Whitey's,15
Mike's Bar & Grille,21
Studio Le Beau,5
The Grooming Station,1
Zen Cuisine,5
The Copper Moon,8
J. B. Mack Macaroni & Cheese Kitchen,4
Hotspot Cafe,19
Kafeteria,8
Tai Wah Asian Cuisine,6
Phuel Cafe,13
"Paul J Rosenblitt, DDS - Rosenblitt Dental",1
Courthouse Pizzeria,7
Phusion Cafe,24
Carnegie Auto Wash & Detail Center,3
Kung Fu Tea,442
Chow Chow Kitchen,6
Breads of Fairlawn,1
Pho Ha Nam,3
Bloom Bakery at Campus District,1
Thai Thai,9
Hunan by the Falls,10
Geiger's,2
Marriott Residence Inn,2
Metropolitan Market,1
"Red, the Steakhouse",1
Cedar Lee Theatre,32
Nicky & Smitty's Deli Restaurant,7
Hershey's Of Hudson,4
Old Whedon Grille,1
Pad Thai,11
The Learned Owl,1
Noble House,6
Szalay's Sweet Corn Farm,10
Brandywine Falls Tours,2
Gander Mountain - Twinsburg Store,5
Solon Cinemas,2
Lowe's Home Improvement Warehouse of Streetsboro,1
Pizza Bogo,1
Snip-its Hudson,1
Tomato Grill,15
D'Angelo's Italian Ristorante,8
E-Check Ohio Vehicle Emissions Testing Progr,1
Courtyard By Marriott Akron Stow,2
Western Reserve Vision Care,2
Solaire Hair Studio and Spa,11
Hudson Springs Park,3
One Red Door,14
Original Steaks and Hoagies,9
B Lux Boutique,1
Rocky River Park,6
Courtyard by Marriott Pittsburgh Airport Settlers Ridge,1
Peachtree Southern Kitchen & Cocktails,16
The Alcazar Hotel,1
The Mad Greek,13
Cuyahoga Community College,1
The Cabin,4
Waterbury Coach House,8
Zeppes Pizzeria & Italian Bistro,7
Downtown 140,11
Allen Theatre,3
Nosh Eatery & Creative Catering,38
University Hospitals Ahuja Medical Center,8
Take 5 Rhythm and Jazz,2
Beau's On The River,6
Dynomite Burgers,6
Secret Cellar,1
Johnnys Diner,4
Arrabiata's Italian Restaurant,12
Gaetano's Restaurant,7
Monica's Flowers,1
AquaKnox,73
Laguna Champagne Bar,30
Piccolo Restaurant,7
Gigi's On Fairmount,33
Tres Potrillos,37
Batuqui,12
Guido's Pizza Haven & Restaurant,10
Bo Loong,9
On the Rise Artisan Breads,29
Saffron Patch,21
Muldoon's Saloon & Eatery,27
Stir Crazy Fresh Asian Grill,17
Farmer In the Deli,5
Bratenahl Kitchen,7
Simply Greek,25
Han Chinese Kabob & Grill,21
Crumb & Spigot,8
M Italian,21
Cleveland Tiffin- Punjabi Dhaba,10
Pacos Tacos,14
Munch,12
6 Flavors,8
Sabor Miami Cafe & Gallery,4
Thon Buri Thai Cuisine,4
The Bourbon Street Barrel Room,26
Jade Mountain Tea Company,13
Parkside Grille,7
Violante's Restaurant,1
Locksmith Hair Studio,1
Pizzazz Pizza & Dining Room,7
Jekyll's Kitchen,11
Johnny's Little Bar,26
Sara's Place,10
Alterations Express,6
Dino's Of Solon,3
Village Martini & Wine Bar,8
BRGR 9,10
Shay's,21
Bike Ohio,1
The Spa at Encore,30
Fireside Book Shop,3
Huntington Convention Center of Cleveland,4
Aurora Farms Premium Outlets,15
Sunny Lake Park,4
Western Reserve Racquet & Fitness Club,1
The Stone Oven Bakery & Cafe,10
Crêpes De Luxe,8
Cafe Toscano,21
Waterway Gas & Wash,7
El Camino,19
Mad Jack's Grill & Pub,13
ML Tavern,9
Market District Solon,7
Urban Farmer,40
Trentina,9
Blossom Grille,2
Adega,15
Texas De Brazil,12
Mug & Brush Barber Shop,4
Raintree Restaurant,1
Marsella's Pizza,2
Gibbs Butcher Block,7
Swings-N-Things Family Fun Park,6
The Cornerstone Brewing Company,22
The Melting Pot - Fairview Park,3
Maya,24
Lake Erie Monsters,1
Kidforce Collectibles,2
Frickaccio's,1
Samurai Sushi and Steakhouse,13
Rosander Ice Cream,2
Merwin's Wharf,12
Dover Chop Shop,1
Hickory Ridge Cinemas,3
Dragon,2
Hollo's Papercraft Store,3
Mapleside Farms,13
Donut Land,5
Mel's Sweet Shop,1
Regal Cinemas Medina 16,3
Country Maid Ice Cream,6
Tower In the Park,1
Regal Cinemas Middleburg Town Square 16,6
Ohio & Erie Canal Reservation,5
The Grille,16
Savory Sub Cafe,3
Hinckley Reservation - Whipps Ledges,3
Eddie's Pizzeria Cerino,31
The Skin Care Center of Cleveland,1
Mucho Buenos,19
Wingz Sports Grill,4
Pick of the Litter,8
House of Hunan,24
Esbi International Salon,1
Romeo's Pizza,21
Avenue Tap House,6
Fatbob's Pizza,9
Synergy Sports Therapy,1
Great Bear Mountain Pie,4
Lager & Vine,5
Royal Indian Bistro,13
Ricks Cafe,8
Greenville Inn,4
Foster's Homemade Ice Cream,8
Angelo's Nido Italia,9
Alson Jewelers,2
Village Auto Wash,7
Ginza Sushi House,4
The Blue Star Tavern,2
Mom's Diner,2
Penzey's Spices,18
Waterway Gas and Wash,4
Hiroshi's Pub,7
Fountain,5
Opus Restaurant,3
Deacon's Chrysler Dodge Jeep Ram,2
ClevelandMoto,1
Arra Hair Salon & Spa,1
Chuck's Fine Wines,6
SASA,19
Get Go From Giant Eagle,2
Seriously Skin,4
Chagrin Valley Little Theatre,2
Laura Lee Salon,3
Pizza House,11
American Commodore Tuxedo,1
Bistro 185,18
Spirit of Clay,1
Pump It Up of Middleburg Heights,1
Executive's Den,4
Express Clothing,1
XO Prime Steaks,17
Custom Cake Creations,2
Ken Stewart's East Bank,11
Ratatouille Restaurante,6
J's Pizza Market,3
The Holden Arboretum,9
Carlone's Candy and Ice Cream,3
Fosters Meats,1
Northeast Factory Direct,4
Scooter's Dawghouse,19
FirenzaStone,1
Fairport Harbor Lakefront Park Beach,3
Cora Cupcakes,4
Antiques & Uniques,2
Steele Mansion Inn & Gathering Hub,1
Pari Authentic Indian Cuisine,7
Mocha Joe's,2
Fuji Buffet & Grill,2
Sage's Apples,4
Sunrise Farm,2
Olivor Twist,14
All About Dogs of Northeast Ohio,3
Changes Salon,2
Barkley Pet Hotel and Day Spa,3
La Look,1
Old Courthouse,3
Grove Hill,10
Pet Palace,1
Cafe 55,4
Warren's Spirited Kitchen,8
Local Cantina,9
Kelsey Elizabeth Cakes,3
Independence Bike Shoppe,1
Nunzio's Pizzeria,10
Empirical Sound,1
Uncle Ben's Pawnshop,1
Mardi Gras Restaurant,5
George's  Kitchen,32
Ohio City Brew Stop,4
Zen Metro Spa,7
Sanity,1
The Italian Cobbler,4
Sweet Lorain,2
Pure & Supreme Cuisine,5
Press Wine Bar,11
Luca Italian Cuisine,8
Cha Spirits & Pizza Kitchen,3
Fresh Start Diner,43
Creekside Restaurant & Bar,17
Brecksville Doughnuts & Coffee Shoppe,3
Breakfast Kitchen Bar,16
Fantasy,19
Munroe Falls Metro Park,2
Nervous Dog Coffee Bar and Roaster,16
Venice Cafe,6
Streetsboro Foreign Auto Repair & Parts,1
Cucina Rustica,7
Bounce Cleveland,5
Lounge Leo,7
Cuisine of India,13
Dos Coronas,7
The Social Room,4
